Budget_function,Title as it Appears in Source,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,Notes
"Education, training, employment, and social services",Exclusion of interest on State and local government qualified private activity bonds for private nonprofit and qualified public educational facilities,2200,2300,2800,2900,3000,900,900,900,1000,1000,3100,3200,3700,3900,4000,
"Education, training, employment, and social services",Exclusion of interest on State and local government qualified private activity bonds for student loans,300,100,400,400,500,100,100,100,200,200,400,200,500,600,700,
"Education, training, employment, and social services",Exclusion of miscellaneous fringe benefits,6500,6800,6900,7000,7100,0,0,0,0,0,6500,6800,6900,7000,7100,
"Education, training, employment, and social services",Exclusion of housing allowances for ministers,700,700,700,700,800,0,0,0,0,0,700,700,700,700,800,
"Education, training, employment, and social services",Exclusion of scholarship and fellowship income,2200,2400,2500,2700,2800,0,0,0,0,0,2200,2400,2500,2700,2800,
"Education, training, employment, and social services",Hope credit,7100,8300,4100,2500,2500,0,0,0,0,0,7100,8300,4100,2500,2500,"Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
"Education, training, employment, and social services",Lifetime learning credit,1900,2100,2800,3000,3000,0,0,0,0,0,1900,2100,2800,3000,3000,
"Education, training, employment, and social services",Limits on deductible compensation,0,0,0,0,0,-500,-500,-600,-700,-700,-500,-500,-600,-700,-700,Estimate does not include effects of changes made by the Emergency Economic Stabilization Act of 2008. Estimate includes effects of changes made by Patient Protection and Affordable Care Act enacted in 2010. This is a negative tax expenditure for the 2011-2015 period.
"Education, training, employment, and social services",Parental personal exemption for students aged 19 to 23,4400,2000,2200,2400,2100,0,0,0,0,0,4400,2000,2200,2400,2100,
"Education, training, employment, and social services",Qualified school construction bonds,500,700,1000,1200,1400,100,100,100,100,100,600,800,1100,1300,1500,
"Education, training, employment, and social services",Prepaid tuition programs,<50,100,100,100,100,0,0,0,0,0,0,100,100,100,100,
"Education, training, employment, and social services",Savings account programs,500,600,700,800,1000,0,0,0,0,0,500,600,700,800,1000,
"Education, training, employment, and social services",Deduction for teacher classroom expenses,200,100,0,0,0,0,0,0,0,0,200,100,0,0,0,
"Education, training, employment, and social services",Special tax provisions for employee stock ownership plans (ESOPs),200,200,200,200,200,900,1000,1000,1100,1200,1100,1200,1200,1300,1400,
"Education, training, employment, and social services",Work opportunity tax credit,100,100,<50,<50,<50,600,400,200,100,<50,700,500,200,100,0,
Health,Tax credit for small businesses purchasing employer insurance,1900,4100,4700,6000,7300,300,600,700,900,1100,2200,4700,5400,6900,8400,
Health,Deduction tor charitable contributions to health organizations,2500,2700,3300,3600,3800,1600,1600,1600,1700,1800,4100,4300,4900,5300,5600,
Health,Deduction for medical expenses and long-term care expenses,9500,11400,14100,16600,19000,0,0,0,0,0,9500,11400,14100,16600,19000,
Health,"Exclusion of employer contributions for health care, health insurance premiums, and long-term care insurance premiums",109300,128100,147800,164200,175600,0,0,0,0,0,109300,128100,147800,164200,175600,Estimate includes employer-provided health insurance purchased through cafeteria plans
Health,Exclusion of health insurance benefits for military retirees and retiree dependents enrolled in Medicare,1500,1700,2000,2300,2500,0,0,0,0,0,1500,1700,2000,2300,2500,
Health,Exclusion of interest on State and local government qualified private activity bonds for private nonprofit hospital facilities,1500,1600,1900,2000,2100,600,600,600,700,700,2100,2200,2500,2700,2800,
Health,"Exclusion of medical care and TRICARE medical insurance for military, dependents, retirees, and retiree dependents not enrolled in Medicare",2500,2600,2700,2700,2800,0,0,0,0,0,2500,2600,2700,2700,2800,
Health,Health savings accounts,1200,1300,1800,2100,2300,0,0,0,0,0,1200,1300,1800,2100,2300,
Health,Premium subsidy for COBRA continuation coverage,1200,<50,0,0,0,0,0,0,0,0,1200,0,0,0,0,"Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
Health,Subsidies for participation in exchanges,0,0,0,25500,52400,0,0,0,0,0,0,0,0,25500,52400,"Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
Health,Deduction for health insurance premiums and long-term care insurance premiums by the self-employed,4100,4600,5400,5900,6100,0,0,0,0,0,4100,4600,5400,5900,6100,
Health,Credit for purchase of health insurance by certain displaced persons,200,200,<50,0,0,0,0,0,0,0,200,200,0,0,0,"Estimate includes refundability associated with the outlay effects found on page 45 of the JCT <a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
Health,Credit the orphan drug research,<50,<50,<50,<50,<50,600,700,700,800,800,600,700,700,800,800,
Health,Exclusion of workers' compensation benefits (medical benefits),6000,6300,5400,5400,5600,0,0,0,0,0,6000,6300,5400,5400,5600,
Interest,Deferral of interest on savings bonds,1400,1400,1500,1500,1500,0,0,0,0,0,1400,1400,1500,1500,1500,
General purpose fiscal assistance,"Deduction of nonbusiness State and local government income taxes, sales taxes, and personal property taxes",42400,31400,46000,54000,56500,0,0,0,0,0,42400,31400,46000,54000,56500,
General purpose fiscal assistance,Exclusion of interest on public purpose State and local government bonds,21900,23100,27800,28600,29400,8500,9000,9500,9800,10000,30400,32100,37300,38400,39400,
Veterans benefits and services,Exclusion of veterans' readjustment benefits,1100,1200,1300,1400,1500,0,0,0,0,0,1100,1200,1300,1400,1500,
Veterans benefits and services,Exclusion of interest on State and local government qualified private activity bonds for veterans' housing,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Veterans benefits and services,Exclusion of veterans' disability compensation,5500,5800,5600,5700,5800,0,0,0,0,0,5500,5800,5600,5700,5800,
Veterans benefits and services,Exclusion of veterans' pensions,100,100,100,100,200,0,0,0,0,0,100,100,100,100,200,
Social Security,Exclusion of untaxed Social Security and railroad retirement benefits,31000,32000,39200,42600,44100,0,0,0,0,0,31000,32000,39200,42600,44100,
Medicare,Exclusion of certain subsidies to employers who maintain prescription drug plans for Medicare enrollees,0,0,0,0,0,500,500,300,0,0,500,500,300,0,0,
Medicare,Hospital insurance (Part A),30300,31400,37200,38800,39400,0,0,0,0,0,30300,31400,37200,38800,39400,
Medicare,Prescription drug insurance (Part D),6100,6600,7300,8100,9000,0,0,0,0,0,6100,6600,7300,8100,9000,
Medicare,Supplementary medIcal Insurance (Part B),21200,23200,28600,29300,30900,0,0,0,0,0,21200,23200,28600,29300,30900,
